Entry	Entry name	Status	Gene names	Organism	Length	Mass	Gene encoded by	Version (sequence)
P12109	CO6A1_HUMAN	reviewed	COL6A1	Homo sapiens (Human)	1028	108,529		3
P12110	CO6A2_HUMAN	reviewed	COL6A2	Homo sapiens (Human)	1019	108,579		4
P12111	CO6A3_HUMAN	reviewed	COL6A3	Homo sapiens (Human)	3177	343,669		5
P12235	ADT1_HUMAN	reviewed	SLC25A4 AAC1 ANT1	Homo sapiens (Human)	298	33,064		4
P12236	ADT3_HUMAN	reviewed	SLC25A6 AAC3 ANT3 CDABP0051	Homo sapiens (Human)	298	32,866		4
P12259	FA5_HUMAN	reviewed	F5	Homo sapiens (Human)	2224	251,703		4
P12268	IMDH2_HUMAN	reviewed	IMPDH2 IMPD2	Homo sapiens (Human)	514	55,805		2
P12270	TPR_HUMAN	reviewed	TPR	Homo sapiens (Human)	2363	267,293		3
P12273	PIP_HUMAN	reviewed	PIP GCDFP15 GPIP4	Homo sapiens (Human)	146	16,572		1
P12277	KCRB_HUMAN	reviewed	CKB CKBB	Homo sapiens (Human)	381	42,644		1
P12429	ANXA3_HUMAN	reviewed	ANXA3 ANX3	Homo sapiens (Human)	323	36,375		3
P12532	KCRU_HUMAN	reviewed	CKMT1A CKMT; CKMT1B CKMT	Homo sapiens (Human)	417	47,037		1
P12694	ODBA_HUMAN	reviewed	BCKDHA	Homo sapiens (Human)	445	50,471		2
P12814	ACTN1_HUMAN	reviewed	ACTN1	Homo sapiens (Human)	892	103,058		2
P12829	MYL4_HUMAN	reviewed	MYL4 MLC1 PRO1957	Homo sapiens (Human)	197	21,565		3
P12882	MYH1_HUMAN	reviewed	MYH1	Homo sapiens (Human)	1939	223,145		3
P12883	MYH7_HUMAN	reviewed	MYH7 MYHCB	Homo sapiens (Human)	1935	223,097		5
P12955	PEPD_HUMAN	reviewed	PEPD PRD	Homo sapiens (Human)	493	54,548		3
P12956	XRCC6_HUMAN	reviewed	XRCC6 G22P1	Homo sapiens (Human)	609	69,843		2
P13010	XRCC5_HUMAN	reviewed	XRCC5 G22P2	Homo sapiens (Human)	732	82,705		3
P13073	COX41_HUMAN	reviewed	COX4I1 COX4	Homo sapiens (Human)	169	19,577		1
P13473	LAMP2_HUMAN	reviewed	LAMP2	Homo sapiens (Human)	410	44,961		2
P13489	RINI_HUMAN	reviewed	RNH1 PRI RNH	Homo sapiens (Human)	461	49,973		2
P13497	BMP1_HUMAN	reviewed	BMP1 PCOLC	Homo sapiens (Human)	986	111,249		2
P13533	MYH6_HUMAN	reviewed	MYH6 MYHCA	Homo sapiens (Human)	1939	223,735		5
P13569	CFTR_HUMAN	reviewed	CFTR ABCC7	Homo sapiens (Human)	1480	168,142		3
P13591	NCAM1_HUMAN	reviewed	NCAM1 NCAM	Homo sapiens (Human)	858	94,574		3
P13611	CSPG2_HUMAN	reviewed	VCAN CSPG2	Homo sapiens (Human)	3396	372,820		3
P13637	AT1A3_HUMAN	reviewed	ATP1A3	Homo sapiens (Human)	1013	111,749		3
P13639	EF2_HUMAN	reviewed	EEF2 EF2	Homo sapiens (Human)	858	95,338		4
P13645	K1C10_HUMAN	reviewed	KRT10 KPP	Homo sapiens (Human)	584	58,827		6
P13646	K1C13_HUMAN	reviewed	KRT13	Homo sapiens (Human)	458	49,588		4
P13647	K2C5_HUMAN	reviewed	KRT5	Homo sapiens (Human)	590	62,378		3
P13667	PDIA4_HUMAN	reviewed	PDIA4 ERP70 ERP72	Homo sapiens (Human)	645	72,932		2
P13674	P4HA1_HUMAN	reviewed	P4HA1 P4HA	Homo sapiens (Human)	534	61,049		2
P13693	TCTP_HUMAN	reviewed	TPT1	Homo sapiens (Human)	172	19,595		1
P13796	PLSL_HUMAN	reviewed	LCP1 PLS2	Homo sapiens (Human)	627	70,288		6
P13797	PLST_HUMAN	reviewed	PLS3	Homo sapiens (Human)	630	70,811		4
P13798	ACPH_HUMAN	reviewed	APEH D3F15S2 D3S48E DNF15S2	Homo sapiens (Human)	732	81,225		4
P13804	ETFA_HUMAN	reviewed	ETFA	Homo sapiens (Human)	333	35,080		1
P13807	GYS1_HUMAN	reviewed	GYS1 GYS	Homo sapiens (Human)	737	83,786		2
P13861	KAP2_HUMAN	reviewed	PRKAR2A PKR2 PRKAR2	Homo sapiens (Human)	404	45,518		2
P13929	ENOB_HUMAN	reviewed	ENO3	Homo sapiens (Human)	434	46,987		5
P13987	CD59_HUMAN	reviewed	CD59 MIC11 MIN1 MIN2 MIN3 MSK21	Homo sapiens (Human)	128	14,177		1
P14174	MIF_HUMAN	reviewed	MIF GLIF MMIF	Homo sapiens (Human)	115	12,476		4
P14209	CD99_HUMAN	reviewed	CD99 MIC2 MIC2X MIC2Y	Homo sapiens (Human)	185	18,848		1
P14314	GLU2B_HUMAN	reviewed	PRKCSH G19P1	Homo sapiens (Human)	528	59,425		2
P14324	FPPS_HUMAN	reviewed	FDPS FPS KIAA1293	Homo sapiens (Human)	419	48,275		4
P14406	CX7A2_HUMAN	reviewed	COX7A2 COX7AL	Homo sapiens (Human)	83	9,396		1
P14543	NID1_HUMAN	reviewed	NID1 NID	Homo sapiens (Human)	1247	136,377		3
P14550	AK1A1_HUMAN	reviewed	AKR1A1 ALDR1 ALR	Homo sapiens (Human)	325	36,573		3
P14618	KPYM_HUMAN	reviewed	PKM OIP3 PK2 PK3 PKM2	Homo sapiens (Human)	531	57,937		4
P14625	ENPL_HUMAN	reviewed	HSP90B1 GRP94 TRA1	Homo sapiens (Human)	803	92,469		1
P14672	GLUT4_HUMAN	reviewed	SLC2A4 GLUT4	Homo sapiens (Human)	509	54,787		1
P14735	IDE_HUMAN	reviewed	IDE	Homo sapiens (Human)	1019	117,968		4
P14854	CX6B1_HUMAN	reviewed	COX6B1 COX6B	Homo sapiens (Human)	86	10,192		2
P14866	HNRPL_HUMAN	reviewed	HNRNPL HNRPL P/OKcl.14	Homo sapiens (Human)	589	64,133		2
P14868	SYDC_HUMAN	reviewed	DARS1 DARS PIG40	Homo sapiens (Human)	501	57,136		2
P14923	PLAK_HUMAN	reviewed	JUP CTNNG DP3	Homo sapiens (Human)	745	81,745		3
P14927	QCR7_HUMAN	reviewed	UQCRB UQBP	Homo sapiens (Human)	111	13,530		2
P15121	ALDR_HUMAN	reviewed	AKR1B1 ALDR1 ALR2	Homo sapiens (Human)	316	35,853		3
P15144	AMPN_HUMAN	reviewed	ANPEP APN CD13 PEPN	Homo sapiens (Human)	967	109,540		4
P15151	PVR_HUMAN	reviewed	PVR PVS	Homo sapiens (Human)	417	45,303		2
P15170	ERF3A_HUMAN	reviewed	GSPT1 ERF3A	Homo sapiens (Human)	499	55,756		1
P15259	PGAM2_HUMAN	reviewed	PGAM2 PGAMM	Homo sapiens (Human)	253	28,766		3
P15289	ARSA_HUMAN	reviewed	ARSA	Homo sapiens (Human)	507	53,588		3
P15311	EZRI_HUMAN	reviewed	EZR VIL2	Homo sapiens (Human)	586	69,413		4
P15374	UCHL3_HUMAN	reviewed	UCHL3	Homo sapiens (Human)	230	26,183		1
P15531	NDKA_HUMAN	reviewed	NME1 NDPKA NM23	Homo sapiens (Human)	152	17,149		1
P15559	NQO1_HUMAN	reviewed	NQO1 DIA4 NMOR1	Homo sapiens (Human)	274	30,868		1
P15586	GNS_HUMAN	reviewed	GNS	Homo sapiens (Human)	552	62,082		3
P15848	ARSB_HUMAN	reviewed	ARSB	Homo sapiens (Human)	533	59,687		1
P15880	RS2_HUMAN	reviewed	RPS2 RPS4	Homo sapiens (Human)	293	31,324		2
P15924	DESP_HUMAN	reviewed	DSP	Homo sapiens (Human)	2871	331,774		3
P15954	COX7C_HUMAN	reviewed	COX7C	Homo sapiens (Human)	63	7,246		1
P16070	CD44_HUMAN	reviewed	CD44 LHR MDU2 MDU3 MIC4	Homo sapiens (Human)	742	81,538		3
P16152	CBR1_HUMAN	reviewed	CBR1 CBR CRN SDR21C1	Homo sapiens (Human)	277	30,375		3
P16157	ANK1_HUMAN	reviewed	ANK1 ANK	Homo sapiens (Human)	1881	206,265		3
P16219	ACADS_HUMAN	reviewed	ACADS	Homo sapiens (Human)	412	44,297		1
P16278	BGAL_HUMAN	reviewed	GLB1 ELNR1	Homo sapiens (Human)	677	76,075		2
P16401	H15_HUMAN	reviewed	H1-5 H1F5 HIST1H1B	Homo sapiens (Human)	226	22,580		3
P16402	H13_HUMAN	reviewed	H1-3 H1F3 HIST1H1D	Homo sapiens (Human)	221	22,350		2
P16403	H12_HUMAN	reviewed	H1-2 H1F2 HIST1H1C	Homo sapiens (Human)	213	21,365		2
P16435	NCPR_HUMAN	reviewed	POR CYPOR	Homo sapiens (Human)	677	76,690		2
P16520	GBB3_HUMAN	reviewed	GNB3	Homo sapiens (Human)	340	37,221		1
P16615	AT2A2_HUMAN	reviewed	ATP2A2 ATP2B	Homo sapiens (Human)	1042	114,757		1
P16930	FAAA_HUMAN	reviewed	FAH	Homo sapiens (Human)	419	46,374		2
P16949	STMN1_HUMAN	reviewed	STMN1 C1orf215 LAP18 OP18	Homo sapiens (Human)	149	17,303		3
P16989	YBOX3_HUMAN	reviewed	YBX3 CSDA DBPA	Homo sapiens (Human)	372	40,090		4
P17050	NAGAB_HUMAN	reviewed	NAGA	Homo sapiens (Human)	411	46,565		2
P17096	HMGA1_HUMAN	reviewed	HMGA1 HMGIY	Homo sapiens (Human)	107	11,676		3
P17174	AATC_HUMAN	reviewed	GOT1	Homo sapiens (Human)	413	46,248		3
P17252	KPCA_HUMAN	reviewed	PRKCA PKCA PRKACA	Homo sapiens (Human)	672	76,750		4
P17301	ITA2_HUMAN	reviewed	ITGA2 CD49B	Homo sapiens (Human)	1181	129,295		1
P17302	CXA1_HUMAN	reviewed	GJA1 GJAL	Homo sapiens (Human)	382	43,008		2
P17405	ASM_HUMAN	reviewed	SMPD1 ASM	Homo sapiens (Human)	631	69,936		5
P17540	KCRS_HUMAN	reviewed	CKMT2	Homo sapiens (Human)	419	47,504		2
P17568	NDUB7_HUMAN	reviewed	NDUFB7	Homo sapiens (Human)	137	16,402		4
P17612	KAPCA_HUMAN	reviewed	PRKACA PKACA	Homo sapiens (Human)	351	40,590		2
P17655	CAN2_HUMAN	reviewed	CAPN2 CANPL2	Homo sapiens (Human)	700	79,995		6
P17661	DESM_HUMAN	reviewed	DES	Homo sapiens (Human)	470	53,536		3
P17693	HLAG_HUMAN	reviewed	HLA-G HLA-6.0 HLAG	Homo sapiens (Human)	338	38,224		1
P17812	PYRG1_HUMAN	reviewed	CTPS1 CTPS	Homo sapiens (Human)	591	66,690		2
P17813	EGLN_HUMAN	reviewed	ENG END	Homo sapiens (Human)	658	70,578		2
P17844	DDX5_HUMAN	reviewed	DDX5 G17P1 HELR HLR1	Homo sapiens (Human)	614	69,148		1
P17858	PFKAL_HUMAN	reviewed	PFKL	Homo sapiens (Human)	780	85,018		6
P17900	SAP3_HUMAN	reviewed	GM2A	Homo sapiens (Human)	193	20,838		4
P17931	LEG3_HUMAN	reviewed	LGALS3 MAC2	Homo sapiens (Human)	250	26,152		5
P17948	VGFR1_HUMAN	reviewed	FLT1 FLT FRT VEGFR1	Homo sapiens (Human)	1338	150,769		2
P17980	PRS6A_HUMAN	reviewed	PSMC3 TBP1	Homo sapiens (Human)	439	49,204		3
P17987	TCPA_HUMAN	reviewed	TCP1 CCT1 CCTA	Homo sapiens (Human)	556	60,344		1
P18031	PTN1_HUMAN	reviewed	PTPN1 PTP1B	Homo sapiens (Human)	435	49,967		1
P18065	IBP2_HUMAN	reviewed	IGFBP2 BP2 IBP2	Homo sapiens (Human)	325	34,814		2
P18077	RL35A_HUMAN	reviewed	RPL35A GIG33	Homo sapiens (Human)	110	12,538		2
P18084	ITB5_HUMAN	reviewed	ITGB5	Homo sapiens (Human)	799	88,054		1
P18085	ARF4_HUMAN	reviewed	ARF4 ARF2	Homo sapiens (Human)	180	20,511		3
P18124	RL7_HUMAN	reviewed	RPL7	Homo sapiens (Human)	248	29,226		1
P18206	VINC_HUMAN	reviewed	VCL	Homo sapiens (Human)	1134	123,799		4
P18583	SON_HUMAN	reviewed	SON C21orf50 DBP5 KIAA1019 NREBP HSPC310 HSPC312	Homo sapiens (Human)	2426	263,830		4
P18621	RL17_HUMAN	reviewed	RPL17	Homo sapiens (Human)	184	21,397		3
P18669	PGAM1_HUMAN	reviewed	PGAM1 PGAMA CDABP0006	Homo sapiens (Human)	254	28,804		2
P18754	RCC1_HUMAN	reviewed	RCC1 CHC1	Homo sapiens (Human)	421	44,969		1
P18859	ATP5J_HUMAN	reviewed	ATP5PF ATP5A ATP5J ATPM	Homo sapiens (Human)	108	12,588		1
P19012	K1C15_HUMAN	reviewed	KRT15 KRTB	Homo sapiens (Human)	456	49,212		3
P19013	K2C4_HUMAN	reviewed	KRT4 CYK4	Homo sapiens (Human)	520	56,144		5
P19021	AMD_HUMAN	reviewed	PAM	Homo sapiens (Human)	973	108,332		2
P19022	CADH2_HUMAN	reviewed	CDH2 CDHN NCAD	Homo sapiens (Human)	906	99,809		4
P19237	TNNI1_HUMAN	reviewed	TNNI1	Homo sapiens (Human)	187	21,692		3
P19338	NUCL_HUMAN	reviewed	NCL	Homo sapiens (Human)	710	76,614		3
P19367	HXK1_HUMAN	reviewed	HK1	Homo sapiens (Human)	917	102,486		3
P19404	NDUV2_HUMAN	reviewed	NDUFV2	Homo sapiens (Human)	249	27,392		2
P19429	TNNI3_HUMAN	reviewed	TNNI3 TNNC1	Homo sapiens (Human)	210	24,008		3
P19623	SPEE_HUMAN	reviewed	SRM SPS1 SRML1	Homo sapiens (Human)	302	33,825		1
P19823	ITIH2_HUMAN	reviewed	ITIH2 IGHEP2	Homo sapiens (Human)	946	106,463		2
P19827	ITIH1_HUMAN	reviewed	ITIH1 IGHEP1	Homo sapiens (Human)	911	101,389		3
P20020	AT2B1_HUMAN	reviewed	ATP2B1 PMCA1	Homo sapiens (Human)	1220	134,685		4
P20042	IF2B_HUMAN	reviewed	EIF2S2 EIF2B	Homo sapiens (Human)	333	38,388		2
P20073	ANXA7_HUMAN	reviewed	ANXA7 ANX7 SNX OK/SW-cl.95	Homo sapiens (Human)	488	52,739		3
P20290	BTF3_HUMAN	reviewed	BTF3 NACB OK/SW-cl.8	Homo sapiens (Human)	206	22,168		1
P20339	RAB5A_HUMAN	reviewed	RAB5A RAB5	Homo sapiens (Human)	215	23,659		2
P20340	RAB6A_HUMAN	reviewed	RAB6A RAB6	Homo sapiens (Human)	208	23,593		3
P20591	MX1_HUMAN	reviewed	MX1	Homo sapiens (Human)	662	75,520		4
P20618	PSB1_HUMAN	reviewed	PSMB1 PSC5	Homo sapiens (Human)	241	26,489		2
P20645	MPRD_HUMAN	reviewed	M6PR MPR46 MPRD	Homo sapiens (Human)	277	30,993		1
P20648	ATP4A_HUMAN	reviewed	ATP4A	Homo sapiens (Human)	1035	114,119		5
P20674	COX5A_HUMAN	reviewed	COX5A	Homo sapiens (Human)	150	16,762		2
P20700	LMNB1_HUMAN	reviewed	LMNB1 LMN2 LMNB	Homo sapiens (Human)	586	66,408		2
P20742	PZP_HUMAN	reviewed	PZP CPAMD6	Homo sapiens (Human)	1482	163,863		4
P20810	ICAL_HUMAN	reviewed	CAST	Homo sapiens (Human)	708	76,573		4
P20908	CO5A1_HUMAN	reviewed	COL5A1	Homo sapiens (Human)	1838	183,560		3
P20929	NEBU_HUMAN	reviewed	NEB	Homo sapiens (Human)	6669	772,914		5
P20930	FILA_HUMAN	reviewed	FLG	Homo sapiens (Human)	4061	435,170		3
P20962	PTMS_HUMAN	reviewed	PTMS	Homo sapiens (Human)	102	11,530		2
P21266	GSTM3_HUMAN	reviewed	GSTM3 GST5	Homo sapiens (Human)	225	26,560		3
P21281	VATB2_HUMAN	reviewed	ATP6V1B2 ATP6B2 VPP3	Homo sapiens (Human)	511	56,501		3
P21291	CSRP1_HUMAN	reviewed	CSRP1 CSRP CYRP	Homo sapiens (Human)	193	20,567		3
P21333	FLNA_HUMAN	reviewed	FLNA FLN FLN1	Homo sapiens (Human)	2647	280,739		4
P21399	ACOC_HUMAN	reviewed	ACO1 IREB1	Homo sapiens (Human)	889	98,399		3
P21439	MDR3_HUMAN	reviewed	ABCB4 MDR3 PGY3	Homo sapiens (Human)	1286	141,523		2
P21589	5NTD_HUMAN	reviewed	NT5E NT5 NTE	Homo sapiens (Human)	574	63,368		1
P21675	TAF1_HUMAN	reviewed	TAF1 BA2R CCG1 CCGS TAF2A	Homo sapiens (Human)	1872	212,677		2
P21741	MK_HUMAN	reviewed	MDK MK1 NEGF2	Homo sapiens (Human)	143	15,585		1
P21796	VDAC1_HUMAN	reviewed	VDAC1 VDAC	Homo sapiens (Human)	283	30,773		2
P21802	FGFR2_HUMAN	reviewed	FGFR2 BEK KGFR KSAM	Homo sapiens (Human)	821	92,025		1
P21810	PGS1_HUMAN	reviewed	BGN SLRR1A	Homo sapiens (Human)	368	41,654		2
P21912	SDHB_HUMAN	reviewed	SDHB SDH SDH1	Homo sapiens (Human)	280	31,630		3
P21926	CD9_HUMAN	reviewed	CD9 MIC3 TSPAN29 GIG2	Homo sapiens (Human)	228	25,416		4
P21953	ODBB_HUMAN	reviewed	BCKDHB	Homo sapiens (Human)	392	43,122		2
P21964	COMT_HUMAN	reviewed	COMT	Homo sapiens (Human)	271	30,037		2
P21980	TGM2_HUMAN	reviewed	TGM2	Homo sapiens (Human)	687	77,329		2
P22033	MUTA_HUMAN	reviewed	MMUT MUT	Homo sapiens (Human)	750	83,134		4
P22061	PIMT_HUMAN	reviewed	PCMT1	Homo sapiens (Human)	227	24,636		4
P22087	FBRL_HUMAN	reviewed	FBL FIB1 FLRN	Homo sapiens (Human)	321	33,784		2
P22090	RS4Y1_HUMAN	reviewed	RPS4Y1 RPS4Y PRO2646	Homo sapiens (Human)	263	29,456		2
P22102	PUR2_HUMAN	reviewed	GART PGFT PRGS	Homo sapiens (Human)	1010	107,767		1
P22234	PUR6_HUMAN	reviewed	PAICS ADE2 AIRC PAIS	Homo sapiens (Human)	425	47,079		3
P22307	SCP2_HUMAN	reviewed	SCP2	Homo sapiens (Human)	547	58,994		2
P22314	UBA1_HUMAN	reviewed	UBA1 A1S9T UBE1	Homo sapiens (Human)	1058	117,849		3
P22352	GPX3_HUMAN	reviewed	GPX3 GPXP	Homo sapiens (Human)	226	25,552		2
P22392	NDKB_HUMAN	reviewed	NME2 NM23B	Homo sapiens (Human)	152	17,298		1
P22528	SPR1B_HUMAN	reviewed	SPRR1B	Homo sapiens (Human)	89	9,888		2
P22570	ADRO_HUMAN	reviewed	FDXR ADXR	Homo sapiens (Human)	491	53,837		3
P22626	ROA2_HUMAN	reviewed	HNRNPA2B1 HNRPA2B1	Homo sapiens (Human)	353	37,430		2
P22676	CALB2_HUMAN	reviewed	CALB2 CAB29	Homo sapiens (Human)	271	31,540		2
P22694	KAPCB_HUMAN	reviewed	PRKACB	Homo sapiens (Human)	351	40,623		2
P22695	QCR2_HUMAN	reviewed	UQCRC2	Homo sapiens (Human)	453	48,443		3
P22735	TGM1_HUMAN	reviewed	TGM1 KTG	Homo sapiens (Human)	817	89,787		4
P22830	HEMH_HUMAN	reviewed	FECH	Homo sapiens (Human)	423	47,862		2
P23142	FBLN1_HUMAN	reviewed	FBLN1 PP213	Homo sapiens (Human)	703	77,214		4
P23193	TCEA1_HUMAN	reviewed	TCEA1 GTF2S TFIIS	Homo sapiens (Human)	301	33,970		2
P23219	PGH1_HUMAN	reviewed	PTGS1 COX1	Homo sapiens (Human)	599	68,686		2
P23246	SFPQ_HUMAN	reviewed	SFPQ PSF	Homo sapiens (Human)	707	76,149		2
P23284	PPIB_HUMAN	reviewed	PPIB CYPB	Homo sapiens (Human)	216	23,743		2
P23327	SRCH_HUMAN	reviewed	HRC HCP	Homo sapiens (Human)	699	80,244		1
P23368	MAOM_HUMAN	reviewed	ME2	Homo sapiens (Human)	584	65,444		1
P23381	SYWC_HUMAN	reviewed	WARS1 IFI53 WARS WRS	Homo sapiens (Human)	471	53,165		2
P23396	RS3_HUMAN	reviewed	RPS3 OK/SW-cl.26	Homo sapiens (Human)	243	26,688		2
P23497	SP100_HUMAN	reviewed	SP100	Homo sapiens (Human)	879	100,417		3
P23526	SAHH_HUMAN	reviewed	AHCY SAHH	Homo sapiens (Human)	432	47,716		4
P23528	COF1_HUMAN	reviewed	CFL1 CFL	Homo sapiens (Human)	166	18,502		3
P23588	IF4B_HUMAN	reviewed	EIF4B	Homo sapiens (Human)	611	69,151		2
P23634	AT2B4_HUMAN	reviewed	ATP2B4 ATP2B2 MXRA1	Homo sapiens (Human)	1241	137,920		2
P23786	CPT2_HUMAN	reviewed	CPT2 CPT1	Homo sapiens (Human)	658	73,777		2
P24043	LAMA2_HUMAN	reviewed	LAMA2 LAMM	Homo sapiens (Human)	3122	343,905		4
P24534	EF1B_HUMAN	reviewed	EEF1B2 EEF1B EF1B	Homo sapiens (Human)	225	24,764		3
P24539	AT5F1_HUMAN	reviewed	ATP5PB ATP5F1	Homo sapiens (Human)	256	28,909		2
P24666	PPAC_HUMAN	reviewed	ACP1	Homo sapiens (Human)	158	18,042		3
P24752	THIL_HUMAN	reviewed	ACAT1 ACAT MAT	Homo sapiens (Human)	427	45,200		1
P24821	TENA_HUMAN	reviewed	TNC HXB	Homo sapiens (Human)	2201	240,853		3
P24844	MYL9_HUMAN	reviewed	MYL9 MLC2 MRLC1 MYRL2	Homo sapiens (Human)	172	19,827		4
P25054	APC_HUMAN	reviewed	APC DP2.5	Homo sapiens (Human)	2843	311,646		2
P25205	MCM3_HUMAN	reviewed	MCM3	Homo sapiens (Human)	808	90,981		3
P25311	ZA2G_HUMAN	reviewed	AZGP1 ZAG ZNGP1	Homo sapiens (Human)	298	34,259		2
P25325	THTM_HUMAN	reviewed	MPST TST2	Homo sapiens (Human)	297	33,178		3
P25398	RS12_HUMAN	reviewed	RPS12	Homo sapiens (Human)	132	14,515		3
P25685	DNJB1_HUMAN	reviewed	DNAJB1 DNAJ1 HDJ1 HSPF1	Homo sapiens (Human)	340	38,044		4
P25705	ATPA_HUMAN	reviewed	ATP5F1A ATP5A ATP5A1 ATP5AL2 ATPM	Homo sapiens (Human)	553	59,751		1
P25786	PSA1_HUMAN	reviewed	PSMA1 HC2 NU PROS30 PSC2	Homo sapiens (Human)	263	29,556		1
P25787	PSA2_HUMAN	reviewed	PSMA2 HC3 PSC3	Homo sapiens (Human)	234	25,899		2
P25788	PSA3_HUMAN	reviewed	PSMA3 HC8 PSC8	Homo sapiens (Human)	255	28,433		2
P25789	PSA4_HUMAN	reviewed	PSMA4 HC9 PSC9	Homo sapiens (Human)	261	29,484		1
P26006	ITA3_HUMAN	reviewed	ITGA3 MSK18	Homo sapiens (Human)	1051	116,612		5
P26022	PTX3_HUMAN	reviewed	PTX3 TNFAIP5 TSG14	Homo sapiens (Human)	381	41,976		3
P26038	MOES_HUMAN	reviewed	MSN	Homo sapiens (Human)	577	67,820		3
P26196	DDX6_HUMAN	reviewed	DDX6 HLR2 RCK	Homo sapiens (Human)	483	54,417		2
P26232	CTNA2_HUMAN	reviewed	CTNNA2 CAPR	Homo sapiens (Human)	953	105,313		5
P26358	DNMT1_HUMAN	reviewed	DNMT1 AIM CXXC9 DNMT	Homo sapiens (Human)	1616	183,165		2
P26368	U2AF2_HUMAN	reviewed	U2AF2 U2AF65	Homo sapiens (Human)	475	53,501		4
P26373	RL13_HUMAN	reviewed	RPL13 BBC1 OK/SW-cl.46	Homo sapiens (Human)	211	24,261		4
P26440	IVD_HUMAN	reviewed	IVD	Homo sapiens (Human)	426	46,651		2
P26583	HMGB2_HUMAN	reviewed	HMGB2 HMG2	Homo sapiens (Human)	209	24,034		2
P26599	PTBP1_HUMAN	reviewed	PTBP1 PTB	Homo sapiens (Human)	531	57,221		1
P26639	SYTC_HUMAN	reviewed	TARS1 TARS	Homo sapiens (Human)	723	83,435		3
P26640	SYVC_HUMAN	reviewed	VARS1 G7A VARS VARS2	Homo sapiens (Human)	1264	140,476		4
P26641	EF1G_HUMAN	reviewed	EEF1G EF1G PRO1608	Homo sapiens (Human)	437	50,119		3
P26678	PPLA_HUMAN	reviewed	PLN PLB	Homo sapiens (Human)	52	6,109		1
P26885	FKBP2_HUMAN	reviewed	FKBP2 FKBP13	Homo sapiens (Human)	142	15,649		2
P27105	STOM_HUMAN	reviewed	STOM BND7 EPB72	Homo sapiens (Human)	288	31,731		3
P27144	KAD4_HUMAN	reviewed	AK4 AK3 AK3L1	Homo sapiens (Human)	223	25,268		1
P27348	1433T_HUMAN	reviewed	YWHAQ	Homo sapiens (Human)	245	27,764		1
P27361	MK03_HUMAN	reviewed	MAPK3 ERK1 PRKM3	Homo sapiens (Human)	379	43,136		4
P27482	CALL3_HUMAN	reviewed	CALML3	Homo sapiens (Human)	149	16,891		2
P27487	DPP4_HUMAN	reviewed	DPP4 ADCP2 CD26	Homo sapiens (Human)	766	88,279		2
P27635	RL10_HUMAN	reviewed	RPL10 DXS648E QM	Homo sapiens (Human)	214	24,604		4
P27658	CO8A1_HUMAN	reviewed	COL8A1 C3orf7	Homo sapiens (Human)	744	73,364		2
P27694	RFA1_HUMAN	reviewed	RPA1 REPA1 RPA70	Homo sapiens (Human)	616	68,138		2
P27695	APEX1_HUMAN	reviewed	APEX1 APE APE1 APEX APX HAP1 REF1	Homo sapiens (Human)	318	35,555		2
P27797	CALR_HUMAN	reviewed	CALR CRTC	Homo sapiens (Human)	417	48,142		1
P27816	MAP4_HUMAN	reviewed	MAP4	Homo sapiens (Human)	1152	121,005		3
P27824	CALX_HUMAN	reviewed	CANX	Homo sapiens (Human)	592	67,568		2
P28062	PSB8_HUMAN	reviewed	PSMB8 LMP7 PSMB5i RING10 Y2	Homo sapiens (Human)	276	30,354		3
P28065	PSB9_HUMAN	reviewed	PSMB9 LMP2 PSMB6i RING12	Homo sapiens (Human)	219	23,264		2
P28066	PSA5_HUMAN	reviewed	PSMA5	Homo sapiens (Human)	241	26,411		3
P28070	PSB4_HUMAN	reviewed	PSMB4 PROS26	Homo sapiens (Human)	264	29,204		4
P28072	PSB6_HUMAN	reviewed	PSMB6 LMPY Y	Homo sapiens (Human)	239	25,358		4
P28074	PSB5_HUMAN	reviewed	PSMB5 LMPX MB1 X	Homo sapiens (Human)	263	28,480		3
P28161	GSTM2_HUMAN	reviewed	GSTM2 GST4	Homo sapiens (Human)	218	25,745		2
P28288	ABCD3_HUMAN	reviewed	ABCD3 PMP70 PXMP1	Homo sapiens (Human)	659	75,476		1
P28289	TMOD1_HUMAN	reviewed	TMOD1 D9S57E TMOD	Homo sapiens (Human)	359	40,569		1
P28331	NDUS1_HUMAN	reviewed	NDUFS1	Homo sapiens (Human)	727	79,468		3
P28482	MK01_HUMAN	reviewed	MAPK1 ERK2 PRKM1 PRKM2	Homo sapiens (Human)	360	41,390		3
P28799	GRN_HUMAN	reviewed	GRN	Homo sapiens (Human)	593	63,544		2
P28838	AMPL_HUMAN	reviewed	LAP3 LAPEP PEPS	Homo sapiens (Human)	519	56,166		3
P29144	TPP2_HUMAN	reviewed	TPP2	Homo sapiens (Human)	1249	138,350		4
P29218	IMPA1_HUMAN	reviewed	IMPA1 IMPA	Homo sapiens (Human)	277	30,189		1
P29373	RABP2_HUMAN	reviewed	CRABP2	Homo sapiens (Human)	138	15,693		2
P29401	TKT_HUMAN	reviewed	TKT	Homo sapiens (Human)	623	67,878		3
P29508	SPB3_HUMAN	reviewed	SERPINB3 SCCA SCCA1	Homo sapiens (Human)	390	44,565		2
P29558	RBMS1_HUMAN	reviewed	RBMS1 C2orf12 MSSP MSSP1 SCR2	Homo sapiens (Human)	406	44,505		3
